image,threshold
kaz01_0001,154.0
kaz01_0002,142.0
kaz01_0003,145.0
kaz01_0004,139.0
kaz01_0005,144.0
kaz01_0006,146.0
kaz01_0007,151.0
kaz01_0008,139.0
kaz01_0009,144.0
kaz01_0010,139.0
kaz01_0011,143.0
kaz01_0012,144.0
kaz01_0013,147.0
kaz01_0014,140.0
kaz01_0015,141.0
kaz01_0016,143.0
kaz01_0017,154.0
kaz01_0018,141.0
kaz01_0019,145.0
kaz01_0020,145.0
kaz01_0021,145.0
kaz01_0022,142.0
kaz01_0023,149.0
kaz01_0024,139.0
kaz01_0025,146.0
kaz01_0026,142.0
kaz01_0027,144.0
kaz01_0028,145.0
kaz01_0029,146.0
kaz01_0030,141.0
kaz01_0031,147.0
kaz01_0032,140.0
kaz01_0033,140.0
kaz01_0034,140.0
kaz01_0035,145.0
kaz01_0036,137.0
kaz01_0037,144.0
kaz01_0038,143.0
kaz01_0039,148.0
kaz01_0040,134.0
kaz01_0041,148.0
kaz01_0042,140.0
kaz01_0043,145.0
kaz01_0044,141.0
kaz01_0045,143.0
kaz01_0046,140.0
kaz01_0047,144.0
kaz01_0048,140.0
kaz01_0049,152.0
kaz01_0050,145.0
kaz01_0051,150.0
kaz01_0052,144.0
kaz01_0053,148.0
kaz01_0054,143.0
kaz01_0055,148.0
kaz01_0056,142.0
kaz01_0057,152.0
kaz01_0058,137.0
kaz01_0059,143.0
kaz01_0060,145.0
kaz01_0061,145.0
kaz01_0062,145.0
kaz01_0063,143.0
kaz01_0064,145.0
kaz01_0065,143.0
kaz01_0066,136.0
kaz01_0067,140.0
kaz01_0068,141.0
kaz01_0069,140.0
kaz01_0070,135.0
kaz01_0071,140.0
kaz01_0072,139.0
kaz01_0073,142.0
kaz01_0074,142.0
kaz01_0075,142.0
kaz01_0076,141.0
kaz01_0077,144.0
kaz01_0078,142.0
kaz01_0079,140.0
kaz01_0080,136.0
kaz01_0081,149.0
kaz01_0082,141.0
kaz01_0083,149.0
kaz01_0084,143.0
kaz01_0085,148.0
kaz01_0086,143.0
kaz01_0087,147.0
kaz01_0088,144.0
kaz01_0089,145.0
kaz01_0090,136.0
kaz01_0091,139.0
kaz01_0092,138.0
kaz01_0093,144.0
kaz01_0094,137.0
kaz01_0095,138.0
kaz01_0096,137.0
kaz01_0097,143.0
kaz01_0098,145.0
kaz01_0099,145.0
kaz01_0100,152.0
kaz01_0101,145.0
kaz01_0102,146.0
kaz01_0103,144.0
kaz01_0104,141.0
kaz01_0105,140.0
kaz01_0106,139.0
kaz01_0107,148.0
kaz01_0108,137.0
kaz01_0109,142.0
kaz01_0110,147.0
kaz01_0111,147.0
kaz01_0112,138.0
kaz01_0113,158.0
kaz01_0114,138.0
kaz01_0115,146.0
kaz01_0116,147.0
kaz01_0117,146.0
kaz01_0118,146.0
kaz01_0119,148.0
kaz01_0120,147.0
kaz01_0121,147.0
kaz01_0122,138.0
kaz01_0123,145.0
kaz01_0124,140.0
kaz01_0125,146.0
kaz01_0126,147.0
kaz01_0127,147.0
kaz01_0128,141.0
kaz01_0129,147.0
kaz01_0130,137.0
kaz01_0131,148.0
kaz01_0132,144.0
kaz01_0133,144.0
kaz01_0134,149.0
kaz01_0135,143.0
kaz01_0136,137.0
kaz01_0137,143.0
kaz01_0138,137.0
kaz01_0139,151.0
kaz01_0140,142.0
kaz01_0141,148.0
kaz01_0142,147.0
kaz01_0143,144.0
kaz01_0144,138.0
kaz01_0145,145.0
kaz01_0146,141.0
kaz01_0147,147.0
kaz01_0148,140.0
kaz01_0149,143.0
kaz01_0150,138.0
kaz01_0151,146.0
kaz01_0152,140.0
kaz01_0153,147.0
kaz01_0154,137.0
kaz01_0155,144.0
kaz01_0156,138.0
kaz01_0157,144.0
kaz01_0158,137.0
kaz01_0159,146.0
kaz01_0160,140.0
kaz01_0161,155.0
kaz01_0162,140.0
kaz01_0163,148.0
kaz01_0164,145.0
kaz01_0165,155.0
kaz01_0166,143.0
kaz01_0167,149.0
kaz01_0168,146.0
kaz01_0169,149.0
kaz01_0170,145.0
kaz01_0171,155.0
kaz01_0172,141.0
kaz01_0173,152.0
kaz01_0174,141.0
kaz01_0175,149.0
kaz01_0176,142.0
kaz01_0177,145.0
kaz01_0178,144.0
kaz01_0179,153.0
kaz01_0180,141.0
kaz01_0181,146.0
kaz01_0182,147.0
kaz01_0183,150.0
kaz01_0184,140.0
kaz01_0185,153.0
kaz01_0186,137.0
kaz01_0187,145.0
kaz01_0188,139.0
kaz01_0189,147.0
kaz01_0190,136.0
kaz01_0191,149.0
kaz01_0192,138.0
kaz01_0193,148.0
kaz01_0194,141.0
kaz01_0195,147.0
kaz01_0196,142.0
kaz01_0197,148.0
kaz01_0198,140.0
kaz01_0199,151.0
kaz01_0200,142.0
kaz01_0201,149.0
kaz01_0202,139.0
kaz01_0203,149.0
kaz01_0204,139.0
kaz01_0205,149.0
kaz01_0206,137.0
kaz01_0207,149.0
kaz01_0208,134.0
kaz01_0209,149.0
kaz01_0210,140.0
kaz01_0211,146.0
kaz01_0212,135.0
kaz01_0213,148.0
kaz01_0214,136.0
kaz01_0215,149.0
kaz01_0216,138.0
kaz01_0217,148.0
kaz01_0218,141.0
kaz01_0219,148.0
kaz01_0220,148.0
kaz01_0221,141.0
kaz01_0222,138.0
kaz01_0223,140.0
kaz01_0224,141.0
kaz01_0225,147.0
kaz01_0226,138.0
kaz01_0227,147.0
kaz01_0228,137.0
kaz01_0229,147.0
kaz01_0230,138.0
kaz01_0231,147.0
kaz01_0232,138.0
kaz01_0233,144.0
kaz01_0234,139.0
kaz01_0235,151.0
kaz01_0236,136.0
kaz01_0237,144.0
kaz01_0238,137.0
kaz01_0239,149.0
kaz01_0240,136.0
kaz01_0241,146.0
kaz01_0242,141.0
kaz01_0243,151.0
kaz01_0244,143.0
kaz01_0245,146.0
kaz01_0246,143.0
kaz01_0247,148.0
kaz01_0248,140.0
kaz01_0249,149.0
kaz01_0250,147.0
kaz01_0251,153.0
kaz01_0252,143.0
kaz01_0253,145.0
kaz01_0254,143.0
kaz01_0255,146.0
kaz01_0256,141.0
kaz01_0257,147.0
kaz01_0258,146.0
kaz01_0259,148.0
