image,threshold
kaz02_0267,122.0
kaz02_0268,120.0
kaz02_0269,122.0
kaz02_0270,120.0
kaz02_0271,122.0
kaz02_0272,120.0
kaz02_0273,122.0
kaz02_0274,122.0
kaz02_0275,124.0
kaz02_0276,119.0
kaz02_0277,122.0
kaz02_0278,121.0
kaz02_0279,123.0
kaz02_0280,119.0
kaz02_0281,123.0
kaz02_0282,124.0
kaz02_0283,128.0
kaz02_0284,121.0
kaz02_0285,123.0
kaz02_0286,120.0
kaz02_0287,122.0
kaz02_0288,121.0
kaz02_0289,121.0
kaz02_0290,123.0
kaz02_0291,122.0
kaz02_0292,121.0
kaz02_0293,124.0
kaz02_0294,124.0
kaz02_0295,126.0
kaz02_0296,120.0
kaz02_0297,118.0
kaz02_0298,118.0
kaz02_0299,120.0
kaz02_0300,117.0
kaz02_0301,120.0
kaz02_0302,118.0
kaz02_0303,120.0
kaz02_0304,118.0
kaz02_0305,127.0
kaz02_0306,121.0
kaz02_0307,123.0
kaz02_0308,124.0
kaz02_0309,125.0
kaz02_0310,120.0
kaz02_0311,121.0
kaz02_0312,120.0
kaz02_0313,114.0
kaz02_0314,115.0
kaz02_0315,116.0
kaz02_0316,119.0
kaz02_0317,121.0
kaz02_0318,117.0
kaz02_0319,119.0
kaz02_0320,118.0
kaz02_0321,119.0
kaz02_0322,117.0
kaz02_0323,118.0
kaz02_0324,117.0
kaz02_0325,117.0
kaz02_0326,119.0
kaz02_0327,118.0
kaz02_0328,117.0
kaz02_0329,119.0
kaz02_0330,118.0
kaz02_0331,119.0
kaz02_0332,120.0
kaz02_0333,120.0
kaz02_0334,120.0
kaz02_0335,119.0
kaz02_0336,120.0
kaz02_0337,121.0
kaz02_0338,123.0
kaz02_0339,124.0
kaz02_0340,121.0
kaz02_0341,121.0
kaz02_0342,122.0
kaz02_0343,120.0
kaz02_0344,117.0
kaz02_0345,101.0
kaz02_0346,106.0
kaz02_0347,107.0
kaz02_0348,106.0
kaz02_0349,105.0
kaz02_0350,107.0
kaz02_0351,106.0
kaz02_0352,103.0
kaz02_0353,120.0
kaz02_0354,119.0
kaz02_0355,120.0
kaz02_0356,122.0
kaz02_0357,125.0
kaz02_0358,121.0
kaz02_0359,120.0
kaz02_0360,122.0
kaz02_0361,121.0
kaz02_0362,118.0
kaz02_0363,121.0
kaz02_0364,121.0
kaz02_0365,125.0
kaz02_0366,119.0
kaz02_0367,122.0
kaz02_0368,122.0
kaz02_0369,121.0
kaz02_0370,116.0
kaz02_0371,114.0
kaz02_0372,113.0
kaz02_0373,115.0
kaz02_0374,116.0
kaz02_0375,116.0
kaz02_0376,117.0
kaz02_0377,123.0
kaz02_0378,119.0
kaz02_0379,122.0
kaz02_0380,124.0
kaz02_0381,123.0
kaz02_0382,119.0
kaz02_0383,122.0
kaz02_0384,121.0
kaz02_0385,126.0
kaz02_0386,127.0
kaz02_0387,130.0
kaz02_0388,127.0
kaz02_0389,130.0
kaz02_0390,124.0
kaz02_0391,123.0
kaz02_0392,126.0
kaz02_0393,125.0
kaz02_0394,120.0
kaz02_0395,120.0
kaz02_0396,123.0
kaz02_0397,125.0
kaz02_0398,121.0
kaz02_0399,123.0
kaz02_0400,120.0
kaz02_0401,121.0
kaz02_0402,120.0
kaz02_0403,121.0
kaz02_0404,119.0
kaz02_0405,120.0
kaz02_0406,118.0
kaz02_0407,121.0
kaz02_0408,119.0
kaz02_0409,123.0
kaz02_0410,120.0
kaz02_0411,122.0
kaz02_0412,118.0
kaz02_0413,117.0
kaz02_0414,119.0
kaz02_0415,123.0
kaz02_0416,118.0
kaz02_0417,120.0
kaz02_0418,119.0
kaz02_0419,123.0
kaz02_0420,121.0
kaz02_0421,125.0
kaz02_0422,119.0
kaz02_0423,119.0
kaz02_0424,122.0
kaz02_0425,119.0
kaz02_0426,117.0
kaz02_0427,119.0
kaz02_0428,120.0
kaz02_0429,119.0
kaz02_0430,118.0
kaz02_0431,120.0
kaz02_0432,120.0
kaz02_0433,120.0
kaz02_0434,118.0
kaz02_0435,121.0
kaz02_0436,119.0
kaz02_0437,121.0
kaz02_0438,119.0
kaz02_0439,121.0
kaz02_0440,118.0
kaz02_0441,120.0
kaz02_0442,120.0
kaz02_0443,122.0
kaz02_0444,118.0
kaz02_0445,120.0
kaz02_0446,120.0
kaz02_0447,123.0
kaz02_0448,117.0
kaz02_0449,121.0
kaz02_0450,118.0
kaz02_0451,121.0
kaz02_0452,119.0
kaz02_0453,122.0
kaz02_0454,119.0
kaz02_0455,122.0
kaz02_0456,119.0
kaz02_0457,125.0
kaz02_0458,119.0
kaz02_0459,121.0
kaz02_0460,122.0
kaz02_0461,125.0
kaz02_0462,118.0
kaz02_0463,121.0
kaz02_0464,122.0
kaz02_0465,125.0
kaz02_0466,118.0
kaz02_0467,121.0
kaz02_0468,122.0
kaz02_0469,126.0
kaz02_0470,118.0
kaz02_0471,121.0
kaz02_0472,121.0
kaz02_0473,122.0
kaz02_0474,121.0
kaz02_0475,124.0
kaz02_0476,120.0
kaz02_0477,122.0
kaz02_0478,120.0
kaz02_0479,123.0
kaz02_0480,119.0
kaz02_0481,124.0
kaz02_0482,116.0
kaz02_0483,119.0
kaz02_0484,119.0
